drug,uses,dosage,warnings
Albuforce,,," WARNINGS:   If pregnant or breast-feeding,  Keep out of reach of children. Do not use if tamper evident seal is broken or missing. Store in a cool, dry place."
Allergies,,, Warnings   If symptoms persist or worsen  Keep out of reach of children.
Allergies Pacific U.S.,,," Warnings   Stop use and ask your doctor if symptoms persist or worsen.  If pregnant or breast-feeding, take only on advice of a healthcare professional.  Keep out of reach of children. Reference image:Allergies Pacific.jpg"
Apiol," HOMEOPATHIC INDICATIONS:  For temporary relief of symptoms related to Apiol sensitivity including joint pain, loose stools, stomach upset, menstrual cramps, headache, lack of menstrual periods, rash, and swollen tongue. **   HOMEOPATHIC INDICATIONS:  For temporary relief of symptoms related to Apiol sensitivity including joint pain, loose stools, stomach upset, menstrual cramps, headache, lack of menstrual periods, rash, and swollen tongue. ** **These statements are based upon traditional homeopathic principles. They have not been reviewed by the Food and Drug Administration.",," WARNINGS:   Keep out of reach of children.  If pregnant or breast-feeding, Tamper seal: ""Sealed for Your Protection."" Do not use if seal is broken or missing."
Apis mellifica 30X,,,
Apizastat," INDICATIONS:  May temporarily relieve symptoms of fatigue, indigestion and abdominal pain with bloating.** **Claims based on traditional homeopathic practice, not accepted medical evidence. Not FDA evaluated.  INDICATIONS:  May temporarily relieve symptoms of fatigue, indigestion and abdominal pain with bloating.** **Claims based on traditional homeopathic practice, not accepted medical evidence. Not FDA evaluated.",," WARNINGS:   If pregnant or breastfeeding,  Keep out of reach of children. Do not use if tamper evident seal is broken or missing. Store in a cool, dry place."
Apnetem,,," WARNINGS:   As with any drug, ask a doctor before use if pregnant or nursing.  Keep this and all medications out of the reach of children.  In case of accidental overdose, contact a medical professional or poison control center immediately."
Appetite and Weight with P.H.A.T.,,," Warnings   Stop use and consult a physician  If pregnant or breast-feeding Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center immediately. Reference image:Appetite and Weight.jpg"
Aquaflora High Potency 9,,," Warnings   Stop use and consult a physician If pregnant or breast-feeding, ask a healthcare  Keep out of reach of children. Reference image: High Potency 9.jpg"
Argentyn 23,,,
Arnica Montana,,,
Arnica montana 30X,,,
Arsenicum Album 30X,,,
Arterioforce," INDICATIONS:  For temporary relief of heaviness, tiredness after minimal exercise, difficulty breathing after exercise.  INDICATIONS:  For temporary relief of heaviness, tiredness after minimal exercise, difficulty breathing after exercise.",," WARNINGS:   If pregnant or breast-feeding,  Keep out of reach of children. Do not use if tamper evident seal is broken or missing. Store in cool, dry place."
Arthritis Pain and Joint Relief,,," Warnings   Stop use and consult a physician  If pregnant or breast-feeding Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center immediately. Reference image:Arthritis Pain and Joint.jpg"
BELLADONNA 30C - 3-Pack,,, WARNINGS  Stop use and ask a physician if symptoms persist for more than 3 days or worsen.
BIOTOX," INDICATIONS:  For temporary relief of skin rash, childhood illness, headache, weight loss, mental and physical fatigue, fever, cough, flu-like symptoms, heart palpitations, virus, pain, swelling, stiffness of limbs.  INDICATIONS:  For temporary relief of skin rash, childhood illness, headache, weight loss, mental and physical fatigue, fever, cough, flu-like symptoms, heart palpitations, virus, pain, swelling, stiffness of limbs.",," WARNINGS:   If pregnant or breast-feeding,  Keep out of reach of children. Do not use if tamper evident seal is broken or missing. Store in a cool, dry place."
"Back, Muscle and Joint Relief",,," Warnings   Stop use and consult a physician  If pregnant or breast-feeding Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center immediately. Reference image:Back Muscle and Joint.jpg"
Bacti Sode," INDICATIONS:  Aids in temporary relief of headache, runny nose, chills, minor cough, fatigue, and mild abdominal discomfort.† †Claims based on traditional homeopathic practice, not accepted medical evidence. Not FDA evaluated.",," WARNINGS:   Professional Use Only  If pregnant or breast-feeding, In case of overdose, get medical help or contact a Poison Control Center right away. If condition worsens, seek medical attention.  KEEP OUT OF REACH OF CHILDREN  Do not use if tamper evident seal is broken or missing.  Store in a cool place after opening"
Belladonna 30X,,,
Bestmade Natural Products - Mullein Ear Drops,,,
Bestmade Natural Products Aconitum Napellus,,,
Bestmade Natural Products Aethusa Cynapium,,,
Bestmade Natural Products Allium Cepa,,,
Bestmade Natural Products Alum (Kali Alum Sulph),,,
Bestmade Natural Products Anti Tartium,,,
Bestmade Natural Products Apis Mellifica,,,
Bestmade Natural Products Arsenicum Album,,,
Bestmade Natural Products Arsenicum Iodide (Ars Iod),,,
Bestmade Natural Products Aurum Chloride Sodium (Aurum Mur Nat),,,
Bestmade Natural Products Bryonia Alba,,,
Bestmade Natural Products Calcarea Carbonica,,,
Bestmade Natural Products Calcium Carbonate (Calc Carb),,,
Bestmade Natural Products Calcium Sulfide Hepar Sulph (Calc Sulf),,,
Bestmade Natural Products Cantharis,,,
Bestmade Natural Products Causticum,,,
Bestmade Natural Products Chamomilla,,,
Bestmade Natural Products China Off,,,
Bestmade Natural Products Cimicifuga Racemosa,,,
Bestmade Natural Products Cineraria Mar,,,
Bestmade Natural Products Colchicum Autumnale,,,
Bestmade Natural Products Colocynthis,,,
Bestmade Natural Products Conium Maculatum,,,
Bestmade Natural Products Copper Arsenite (Cuprum Ars),,,
Bestmade Natural Products Dulcamara,,,
Bestmade Natural Products Gelsemium,,,
Bestmade Natural Products Graphites,,,
Bestmade Natural Products Hepar Sulphuris,,,
Bestmade Natural Products Hyoscyamus Nig,,,
Bestmade Natural Products Ignatia Amara,,,
Bestmade Natural Products Lithium Chloride (Lith Mur),,,
Bestmade Natural Products Manganese Sulfate (Mang Sulf),,,
Bestmade Natural Products Nux Vomica,,,
Bestmade Natural Products Phos Acid,,,
Bestmade Natural Products Phosphorus,,,
Bestmade Natural Products Podophyllum,,,
Bestmade Natural Products Potassium Bromide (Kali Brom),,,
Bestmade Natural Products Potassium Dichromate Kali Dichrom (Kali Bich),,,
Bestmade Natural Products Potassium Iodide (Kali Iod),,,
Bestmade Natural Products Pulsatilla Nig,,,
Bestmade Natural Products Rhus Toxicodendron,,,
Bestmade Natural Products Ruta Gr,,,
Bestmade Natural Products Selenium,,,
Bestmade Natural Products Sepia,,,
Bestmade Natural Products Sodium Bicarbonate (Nat Bicarb),,,
Bestmade Natural Products Spongia Tosta,,,
Bestmade Natural Products Staphysagria,,,
Bestmade Natural Products Sulphur,,,
Bestmade Natural Products Veratrum Alb,,,
Bestmade Natural Products Zinc Chloride (Zinc Mur),,,
BioTox Hep," INDICATIONS:  Fatigue, fever, cough, flu-like symptoms, virus, pain, swelling, and stiffness of limbs.  INDICATIONS:  Fatigue, fever, cough, flu-like symptoms, virus, pain, swelling, and stiffness of limbs.",," WARNINGS:   If pregnant or breast-feeding,  Keep out of reach of children. Do not use if tamper evident seal is broken or missing. Store in a cool, dry place."
Bismuth Stibium,,,
"Bite, Bump and Rash Relief"," INDICATIONS:  May temporarily relieve itching, insect bites, poison ivy, rashes, eczema, hives, inflammation and irritated red skin.** **Claims based on traditional homeopathic practice, not accepted medical evidence. Not FDA evaluated.  INDICATIONS:  May temporarily relieve itching, insect bites, poison ivy, rashes, eczema, hives, inflammation and irritated red skin.** **Claims based on traditional homeopathic practice, not accepted medical evidence. Not FDA evaluated.",," WARNINGS:   For external use only.  If pregnant or breast-feeding,  Keep out of reach of children.  When using this product  Stop use and ask a doctor if Do not use if safety seal is broken or missing."
Blood Liquescence," INDICATIONS  Provides potentized homeo-nutritional support of the blood.† †Claims based on traditional homeopathic practice, not accepted medical evidence. Not FDA evaluated.",," WARNINGS:   Professional Use Only  If pregnant or breast-feeding, In case of overdose, get medical help or contact a Poison Control Center right away. If condition worsens, seek medical attention.  KEEP OUT OF REACH OF CHILDREN  Do not use if tamper evident seal is broken or missing.  Store in a cool place after opening"
Bryophyllum Avena,,,
CHAMOMILLA 30C - 3-Pack,,, WARNINGS  Stop use and ask a physician if symptoms persist for more than 3 days or worsen.
Calcarea Carbonic,,, WARNINGS  Stop use and ask a physician if symptoms persist for more than 3 days or worsen.
Camilia,,,
Candida,,," Warnings   Stop use and ask your doctor if  If pregnant or breast-feeding,  Keep out of reach of children. Reference image: Candida.jpg"
Cantharis,,, WARNINGS:  Stop use and ask a physician if symptoms persist for more than 3 days or worsen.
Cantharis 30c,,, WARNINGS:  Stop use and ask a physician if symptoms persist for more than 3 days or worsen.
Cesium Chloride, INDICATIONS:  For temporary relief of tissue acidosis; increases oxygen utilization within cells; increases alkalinity within cells.  INDICATIONS:  For temporary relief of tissue acidosis; increases oxygen utilization within cells; increases alkalinity within cells.,," WARNINGS:   If pregnant or breast-feeding,  Keep out of reach of children. Do not use if tamper evident seal is broken or missing. Store in cool, dry place."
Chamomilla, INDICATIONS:  To be used according to standard homeopathic indications.** **These statements are based upon traditional homeopathic practice. They have not been reviewed by the Food and Drug Administration.  INDICATIONS:  To be used according to standard homeopathic indications.** **These statements are based upon traditional homeopathic practice. They have not been reviewed by the Food and Drug Administration.,," WARNINGS:   If pregnant or breastfeeding,  Keep out of reach of children. Do not use if tamper evident seal is broken or missing. Store in a cool, dry place."
Chamomilla 30X,,,
Childrens Cold Crush,,,
Coffea Cruda 30X,,,
Coffee Tea Chocolate Antigens," INDICATIONS:   May temporarily relieve symptoms associated with coffee, tea, and chocolate allergies.** **Claims based on traditional homeopathic practice, not accepted medical evidence. Not FDA evaluated.  INDICATIONS:  May temporarily relieve symptoms associated with coffee, tea, and chocolate allergies.** **Claims based on traditional homeopathic practice, not accepted medical evidence. Not FDA evaluated.",," WARNINGS:   If pregnant or breast-feeding,  Keep out of reach of children. Do not use if tamper evident seal is broken or missing. Store in a cool, dry place."
Cold Flu Relief Berry," Indications & Usage   Shortens duration and reduces severity of symptoms associated with the common cold and throat/nasal/bronchial irritations, and temporarily relieves flu symptoms: chills/fever, chest congestion, nasal congestion, cough, headache, hoarseness, body aches, sneezing/runny nose, sore throat."," Dosage & Administration  Directions Tear packet open, pour contents into mouth and swallow. For best results, use at first sign of symptoms and continue to use for an additional 48 hours after symptoms cease. Adults & children 13 years of age and older: take contents of 1 packet three times daily. Children 6-12 years of age: take contents of 1 packet two times daily. Children under 6 years of age: consult a doctor.   Indications & Usage   Shortens duration and reduces severity of symptoms associated with the common cold and throat/nasal/bronchial irritations, and temporarily relieves flu symptoms: chills/fever, chest congestion, nasal congestion, cough, headache, hoarseness, body aches, sneezing/runny nose, sore throat.   Purpose  Shortens duration and reduces severity of symptoms associated with the common cold and throat/nasal/bronchial irritations, and temporarily relieves flu symptoms: chills/fever, chest congestion, nasal congestion, cough, headache, hoarseness, body aches, sneezing/runny nose, sore throat."," Warnings  Sore throat warning: if sore throat is severe, persists more than 2 days, is accompanied or following by a fever, headache, rash, nausea, or  vomiting, c onsult a doctor promptly."
Cold Relief Kids FastActives Cherry," Indications & Usage  Shortens duration and reduces severity of symptoms associated with the common cold and throat/nasal/bronchial irritations: chest congestion, nasal congestion, cough, hoarseness, sore throat."," Dosage & Administration  Tear packet open, pour contents into mouth and swallow. For best results, use at first sign of symptoms and continue to use for an additional 48 hours after symptoms cease.  Children 6-12 years of age: take contents of 1 packet two times daily Children under 6 years of age: consult a doctor   Indications & Usage  Shortens duration and reduces severity of symptoms associated with the common cold and throat/nasal/bronchial irritations: chest congestion, nasal congestion, cough, hoarseness, sore throat.   Purpose  Shortens duration and reduces severity of symptoms associated with the common cold and throat/nasal/bronchial irritations: chest congestion, nasal congestion, cough, hoarseness, sore throat."," Warning  Sore throat warning: if sore throat is severe, persists more than 2 days, is accompanied or followed by a fever, headache, rash, nausea, or vomiting, c onsult a doctor pomptly."
Cold Relief Lemon," Indications & Usage  Shortens duration and reduces severity of symptoms associated with the common cold and throat/nasal/bronchial irritations: chest congestion, nasal congestion, cough, hoarseness, sore throat."," Dosage & Administration  Dissolve contents of 1 packet in 4-6 ounces of hot water and sip while hot. May also be dissolved in 4-6 ounces of cold water, which may be preferable for children. Children 6-12 years of age: Take 1 packet two times daily. Children under 6 years of age: Consult a doctor.   Indications & Usage  Shortens duration and reduces severity of symptoms associated with the common cold and throat/nasal/bronchial irritations: chest congestion, nasal congestion, cough, hoarseness, sore throat.   Purpose  Shortens duration and reduces severity of symptoms associated with the common cold and throat/nasal/bronchial irritations: chest congestion, nasal congestion, cough, hoarseness, sore throat."," Warnings  Sore throat warning: if sore throat is severe, persists more than 2 days, is accompanied or followed by a fever, headache, rash, nausea, or vomiting, consult a doctor promptly."
Cough," INDICATIONS:  May temporarily relieve symptoms associated with chronic chest congestion: irritation, tickling, thick mucus, and cough with smarting in the chest.**  **Claims based on traditional homeopathic practice, not accepted medical evidence. Not FDA evaluated.  INDICATIONS:  May temporarily relieve symptoms associated with chronic chest congestion: irritation, tickling, thick mucus, and cough with smarting in the chest.** **Claims based on traditional homeopathic practice, not accepted medical evidence. Not FDA evaluated.",," WARNINGS:   If pregnant or breastfeeding,  Keep out of reach of children. Do not use if tamper evident seal is broken or missing. Store in a cool, dry place."
Coumarin," INDICATIONS:  For temporary relief of abdominal bloating, ear congestion, fatigue, gas, headaches, hay fever, generalized itching, and lower back pain.  INDICATIONS:  For temporary relief of abdominal bloating, ear congestion, fatigue, gas, headaches, hay fever, generalized itching, and lower back pain.",," WARNINGS:   If pregnant or breast-feeding  Keep out of reach of children Do not use if tamper evident seal is broken or missing. Store in cool, dry place."
Coumarin Phenolic," INDICATIONS:  May temporarily relieve symptoms associated with reactions to coumarin.** **Claims based on traditional homeopathic practice, not accepted medical evidence. Not FDA evaluated.  INDICATIONS:  May temporarily relieve symptoms associated with reactions to coumarin.** **Claims based on traditional homeopathic practice, not accepted medical evidence. Not FDA evaluated.",," WARNINGS:   If pregnant or breastfeeding,  Keep out of reach of children. Do not use if tamper evident seal is broken or missing. Store in a cool, dry place."
Cryptotox Combo," INDICATIONS:  For the temporary relief of nausea-vomiting, numbness, tingling, weakness and headache.  INDICATIONS:  For the temporary relief of nausea-vomiting, numbness, tingling, weakness and headache.",," WARNINGS:   ​If pregnant or breast-feeding,  ​Keep out of reach of children. Do not use if tamper evident seal is broken or missing. Store in a cool, dry place."
Degex Liquescence," INDICATIONS:  Provides potentized homeo-nutritional support to aid in support of cellular function.† †Claims based on traditional homeopathic practice, not accepted medical evidence. Not FDA evaluated.",," WARNINGS:   Professional Use Only  If pregnant or breast-feeding, In case of overdose, get medical help or contact a Poison Control Center right away. If condition worsens, seek medical attention.  KEEP OUT OF REACH OF CHILDREN  Do not use if tamper evident seal is broken or missing.  Store in a cool place after opening"
Diet Power," INDICATIONS:  Temporarily relieves the common symptoms of a reducing diet, including: ° excessive appetite ° food cravings ° low energy ° water retention ° natural ° gluten & lactose free ° no artificial flavors or colors ° no known negative side effects ° no known negative drug interactions",," WARNINGS:   If symptoms persist or worsen, If pregnant or breast-feeding, Keep out of reach of children."
Drainage,,," WARNINGS:   Sore Throat Warning Severe or persistent sore throat or sore throat accompanied by high fever, headache, nausea, and vomiting may be serious. Consult physician promptly. Do not use more than 2 days or administer to children under 3 years of age unless directed by physician.  If pregnant or breast-feeding,  Keep out of reach of children. Do not use if tamper evident seal is broken or missing. Store in a cool, dry place."
EASTER LILY," INDICATIONS:  May temporarily relieve symptoms of menstrual discomfort.** **Claims based on traditional homeopathic practice, not accepted medical evidence. Not FDA evaluated.  INDICATIONS:  May temporarily relieve symptoms of menstrual discomfort.** **Claims based on traditional homeopathic practice, not accepted medical evidence. Not FDA evaluated.",," WARNINGS:   If pregnant or breast-feeding, ask a health professional before use.  Keep out of reach of children. Do not use if tamper evident seal is broken or missing. Store in a cool, dry place."
ENT Support,,," WARNINGS:   If pregnant or breast-feeding,  Keep out of reach of children. Severe or persistent sore throat or sore throat accompanied by high fever, headache, nausea, and vomiting may be serious. Consult a physician promptly. Do not use more than two days or administer to children under 3 years of age unless directed by a physician.   Tamper Evident:"
Ear Ring,,," WARNINGS:   If pregnant or breastfeeding,  Keep out of reach of children.  Tamper Evident:"
Ear Ringing,,," Warnings   Stop use and consult a physician if  If pregnant or breast-feeding  Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center immediately. Reference image:Ear Ringing.jpg"
Eczema Rescue, INDICATIONS:   May temporarily relieve minor symptoms of eczema.** ** These statements are based upon traditional homeopathic practice. They have not been reviewed by the Food and Drug Administration.  INDICATIONS:   May temporarily relieve minor symptoms of eczema.** ** These statements are based upon traditional homeopathic practice. They have not been reviewed by the Food and Drug Administration.,," WARNINGS:   For external use only.  If pregnant or breast-feeding,  Keep out of reach of children.  When using this product:  Stop use and ask a doctor if:  ALLERGY ALERT:"
Eezysun After Sun Cooling,,,
Emotional Eating," HOMEOPATHIC INDICATIONS:  For temporary relief of symptoms including constant appetite, increased or insatiable hunger.** **These statements are based upon homeopathic principles. They have not been reviewed by the Food and Drug Administration.  HOMEOPATHIC INDICATIONS:  For temporary relief of symptoms including constant appetite, increased or insatiable hunger.** **These statements are based upon homeopathic principles. They have not been reviewed by the Food and Drug Administration.",," WARNINGS:   Keep out of reach of children.  If pregnant or breast-feeding, Tamper seal: Sealed for your protection."
Energize," HOMEOPATHIC INDICATIONS:  For temporary relief of exhaustion, fatigue, and feelings of low energy.** **These statements are based upon traditional homeopathic principles. They have not been reviewed by the Food and Drug Administration.  HOMEOPATHIC INDICATIONS:  For temporary relief of exhaustion, fatigue, and feelings of low energy.** **These statements are based upon traditional homeopathic principles. They have not been reviewed by the Food and Drug Administration.",," WARNINGS:   If pregnant or breast-feeding,  Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away. Tamper seal: ""Sealed for Your Protection."" Do not use if seal is broken or missing."
Female Stimulant,,," WARNINGS:   If pregnant or breast-feeding,  Keep out of reach of children.   Tamper Evident:"
Ferrum Phos,,,
First Aid Mind and Body,,," Warnings   Stop use and consult a physician  If pregnant or breast-feeding Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center immediately. Reference image: Frist Aid Mind and Body.jpg"
GI Clear P," INDICATIONS:  May temporarily relieve nausea, diarrhea, abdominal cramping, gas, bloatin, dehydration, and fever.** **Claims based on traditional homeopathic practice, not accepted medical evidence. Not FDA evaluated.  INDICATIONS:  May temporarily relieve nausea, diarrhea, abdominal cramping, gas, bloatin, dehydration, and fever.** **Claims based on traditional homeopathic practice, not accepted medical evidence. Not FDA evaluated.",," WARNINGS:   If pregnant or breast-feeding,  Keep out of reach of children. Do not use if tamper evident seal is broken or missing. Store in a cool, dry place."
GLP Support,,," WARNINGS:   If pregnant or breastfeeding,  Keep out of reach of children.  Tamper Evident:"
Gelsemium Sempervirens 30X,,,
Good Mood Enhancer,,," Warnings   Stop use and consult a physician  If pregnant or breast-feeding Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center immediately. Reference image:Good Mood.jpg"
Gout Relief 3310-S,,,
H- Eczema Formula," Indications:  For the temporary relief of eczema symptoms such as dryness, itching and irritation.",, Warnings:       For external use only.            Keep out of reach of children.    Keep away from eyes and mucous membranes. If swallowed get medical help       Discontinue use if irritation occurs.    Consult a doctor if symptoms worsen after 7 days.
H-Psoriasis Formula," Indications:  For the temporary relief of psoriasis symptoms such as dryness, itching and irritation.",, Warnings:   For external use only.              Keep away from eyes and mucous membranes. If swallowed get medical help or contact a Poison Control       Discontinue use if irritation occurs.    Consult a doctor if symptoms worsen after 7 days.
Headache Relief,,," Warnings   Stop use and consult a physician  If pregnant or breast-feeding  Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center immediately. Reference image:Headache Relief.jpg"
Healthy Weight Formula," INDICATIONS:  For temporary relief of symptoms related to increased appetite, regulation of fat metabolism, headache, fatigue and detoxification stress.  INDICATIONS:  For temporary relief of symptoms related to increased appetite, regulation of fat metabolism, headache, fatigue and detoxification stress.",," WARNINGS:  Keep out of reach of children.  In case of overdose, get medical help or contact a Poison Control Center right away.  If pregnant or breast-feeding, ask a health professional before use.  Tamper seal:  Sealed for your protection.  Do not use if seal is broken or missing."
Heart Small Intestine Meridian Opener,,," WARNINGS:   If pregnant or breastfeeding,  Keep out of reach of children.  Tamper Evident:"
Hepastat," INDICATIONS:  May temporarily relieve indigestion, flatulence, exhaustion, nausea and constipation.** **Claims based on traditional homeopathic practice, not accepted medical evidence. Not FDA evaluated.  INDICATIONS:  May temporarily relieve indigestion, flatulence, exhaustion, nausea and constipation.** **Claims based on traditional homeopathic practice, not accepted medical evidence. Not FDA evaluated.",," WARNINGS:   If pregnant or breast-feeding,  Keep out of reach of children. Do not use if tamper evident seal is broken or missing. Store in a cool, dry place."
Histaminum hydrochloricum 30C - 3-Pack,,, WARNINGS  Stop use and ask a physician if symptoms persist for more than 3 days or worsen.
Hormone Balance," HOMEOPATHIC INDICATIONS:  Temporary relief of symptoms related to hormone imbalances or insufficiencies in men and women, including low energy, inability to handle stress, trouble focusing, changes in mood, infertility, irregular menstrual cycles (females) and lack of libido.** **These statements are based upon traditional homeopathic principles. They have not been reviewed by the Food and Drug Administration.  HOMEOPATHIC INDICATIONS:  Temporary relief of symptoms related to hormone imbalances or insufficiencies in men and women, including low energy, inability to handle stress, trouble focusing, changes in mood, infertility, irregular menstrual cycles (females) and lack of libido.** **These statements are based upon traditional homeopathic principles. They have not been reviewed by the Food and Drug Administration.",," WARNINGS:   Keep out of reach of children.  If pregnant or breast-feeding, Tamper seal: ""Sealed for Your Protection."" Do not use if seal is broken or missing."
Household Dust and Mold Mix," INDICATIONS:  Provides factors that mitigate hypersensitivity to household dusts, molds and mites.† †Claims based on traditional homeopathic practice, not accepted medical evidence. Not FDA evaluated.",," WARNINGS:   Professional Use Only  If pregnant or breast-feeding, In case of overdose, get medical help or contact a Poison Control Center right away. If condition worsens, seek medical attention.  KEEP OUT OF REACH OF CHILDREN  Do not use if tamper evident seal is broken or missing.  Store in a cool place after opening"
Hylands Naturals Earache Drops,,,
Hypericum Perforatum 30X,,,
I-Waker," INDICATIONS & USAGE SECTION  Formulated for symptoms such as hypersensitivity, debility, glandular swellings, infections and inflammation."," DOSAGE & ADMINISTRATION SECTION  Directions: Ages 12 and up, take 6 drops by mouth (ages 0 to 11, give 3 drops) three to four times daily or as directed by a health professional.", WARNINGS SECTION   WARNINGS: Keep out of reach of children. Do not use pregnant or breast-feeding
Ignatia Amara 30X,,,
Immu-n Waker," INDICATIONS & USAGE SECTION  Formulated for symptoms such as hypersensitivity, debility, glandular swellings, infections and inflammation."," DOSAGE & ADMINISTRATION SECTION  Directions: Ages 12 and up, take 6 drops by mouth (ages 0 to 11, give 3 drops) three to four times daily or as directed by a health professional.", WARNINGS SECTION   WARNINGS: Keep out of reach of children. Do not use pregnant or breast-feeding
Immune Support,,," WARNINGS:   If pregnant or breastfeeding,  Keep out of reach of children.  Tamper Evident:  Sore Throat Warning:"
Immuno-Boost," INDICATIONS:  For the temporary relief of symptoms of chronic illness including fatigue, effects of toxin buildup, slowed metabolism, weakened constitution.  INDICATIONS:  For the temporary relief of symptoms of chronic illness including fatigue, effects of toxin buildup, slowed metabolism, weakened constitution.",," WARNINGS:   Keep out of reach of children.  If pregnant or breast-feeding, Tamper seal: sealed for your protection"
Inflammation," INDICATIONS:  For temporary relief of swollen throat, minor throbbing pain deep in the ear; joints swollen and hot; chills and fever with nausea.  INDICATIONS:  For temporary relief of swollen throat, minor throbbing pain deep in the ear; joints swollen and hot; chills and fever with nausea.",," WARNINGS:   If pregnant or breast-feeding,  Keep out of reach of children. Do not use if tamper evident seal is broken or missing. Store in cool, dry place.  WARNING:"
Influaforce," INDICATIONS:  For temporary relief of minor aches and pains in muscles and joints, fever with dryness of mucous membranes and dry cough; muscular soreness and fatigue with headache.  INDICATIONS:  For temporary relief of minor aches and pains in muscles and joints, fever with dryness of mucous membranes and dry cough; muscular soreness and fatigue with headache.",," WARNINGS:   If pregnant or breast-feeding,  Keep out of reach of children. Do not use if tamper evident seal is broken or missing. Store in cool, dry place."
Influenzinum 200C,,," WARNINGS:   Stop use and ask a doctor if  If pregnant or breastfeeding,  Keep out of reach of children. DO NOT USE IF TAMPER EVIDENT SEAL IS BROKEN OR MISSING. Store in a cool, dry place."
Insecticides/Pest/Food Additives Detox," HOMEOPATHIC INDICATIONS:  For temporary relief of symptoms related to food additives, herbicides and insecticides including muscle weakness, skin irritation, poor muscle coordination, headache, cough, occasional diarrhea, dizziness, fatigue, fever, stomach pain and vomiting.** **These statements are based upon homeopathic principles. They have not been reviewed by the Food and Drug Administration.  HOMEOPATHIC INDICATIONS:  For temporary relief of symptoms related to food additives, herbicides and insecticides including muscle weakness, skin irritation, poor muscle coordination, headache, cough, occasional diarrhea, dizziness, fatigue, fever, stomach pain and vomiting.** **These statements are based upon homeopathic principles. They have not been reviewed by the Food and Drug Administration.",," WARNINGS:   Keep out of reach of children.  If pregnant or breast-feeding, Tamper seal: Sealed for Your Protection."
Intimate,,," WARNINGS:   If pregnant or breastfeeding,  Keep out of reach of children.  Tamper Evident:"
